WHO report date,"Total Cases, Guinea","Total Deaths, Guinea","Total Cases, Liberia","Total Deaths, Liberia","Total Cases, Sierra Leone","Total Deaths, Sierra Leone",Total Cases,Total Deaths
2/11/2015,3044,1995,8881,3826,10934,3341,22859,9162
2/18/2015,3108,2057,9007,3900,11103,3408,23218,9365
2/25/2015,3155,2091,9238,4037,11301,3461,23694,9589
3/4/2015,3219,2129,9249,4117,11466,3546,23934,9792
3/11/2015,3285,2170,9343,4162,11619,3629,24247,9961
3/18/2015,3389,2224,9526,4264,11751,3691,24666,10179
3/25/2015,3429,2263,9602,4301,11841,3747,24872,10311
3/26/2015,3459,2273,9602,4301,11866,3764,24927,10338
3/27/2015,3466,2276,9602,4301,11889,3773,24957,10350
3/30/2015,3485,2305,9602,4301,11943,3792,25030,10398
3/31/2015,3492,2314,9712,4332,11974,3799,25178,10445
4/1/2015,3492,2314,9712,4332,11974,3799,25178,10445
4/2/2015,3494,2320,9712,4332,12022,3810,25228,10462
4/7/2015,3515,2333,9862,4408,12139,3832,25516,10573
4/8/2015,3515,2333,9862,4408,12138,3831,25515,10572
4/9/2015,3515,2335,9862,4408,12155,3841,25532,10584
4/10/2015,3524,2337,9862,4408,12170,3842,25556,10587
4/13/2015,3541,2342,9862,4408,12188,3854,25591,10604
4/14/2015,3548,2346,9862,4408,12201,3857,25611,10611
4/15/2015,3548,2346,10042,4486,12201,3857,25791,10689
4/16/2015,3566,2348,10042,4486,12223,3865,25831,10699
4/17/2015,3569,2351,10042,4486,12244,3865,25855,10702
4/18/2015,3565,2357,10042,4486,12256,3872,25863,10715
4/19/2015,3565,2358,10212,4573,12267,3877,26044,10808
4/19/2015,3565,2358,10042,4486,12256,3877,25872,10721
4/21/2015,3568,2362,10212,4573,12294,3885,26074,10820
4/22/2015,3576,2365,10212,4573,12313,3886,26101,10824
4/24/2015,3585,2374,10212,4573,12362,3895,26159,10842
4/26/2015,3584,2377,10322,4608,12371,3899,26277,10884
4/28/2015,3581,2381,10322,4608,12387,3901,26290,10890
4/29/2015,3578,2383,10322,4608,12398,3901,26298,10892
5/2/2015,3591,2385,10322,4608,12426,3902,26339,10895
5/3/2015,3589,2386,10564,4716,12440,3903,26593,11005
5/3/2015,3589,2386,10507,4691,12440,3903,26536,10980
5/5/2015,3592,2387,10564,4716,12470,3904,26626,11007
5/6/2015,3592,2387,10564,4716,12492,3904,26648,11007
5/9/2015,3599,2391,10604,4769,12519,3904,26722,11064
5/10/2015,3597,2392,10604,4769,12523,3904,26724,11065
5/12/2015,3615,2399,10604,4769,12536,3904,26755,11072
5/13/2015,3619,2401,10604,4769,12540,3904,26763,11074
5/16/2015,3626,2405,10666,4806,12593,3906,26885,11117
5/19/2015,3649,2409,10666,4806,12656,3907,26971,11122
5/20/2015,3647,2412,10666,4806,12666,3907,26979,11125
5/24/2015,3641,2420,10666,4806,12706,3908,27013,11134
5/26/2015,3639,2423,10666,4806,12735,3911,27040,11140
5/27/2015,3644,2425,10666,4806,12745,3911,27055,11142
5/30/2015,3653,2428,10666,4806,12816,3911,27135,11145
5/31/2015,3652,2429,10666,4806,12827,3912,27145,11147
6/4/2015,3657,2431,10666,4806,12850,3912,27173,11149
6/5/2015,3664,2431,10666,4806,12859,3912,27189,11149
6/6/2015,3669,2435,10666,4806,12884,3913,27219,11154
6/7/2015,3670,2437,10666,4806,12901,3915,27237,11158
6/9/2015,3674,2440,10666,4806,12911,3917,27251,11163
6/10/2015,3677,2440,10666,4806,12932,3917,27275,11163
6/13/2015,3677,2443,10666,4806,12962,3919,27305,11168
6/14/2015,3678,2444,10666,4806,12965,3919,27309,11169
6/16/2015,3675,2445,10666,4806,12990,3922,27331,11173
6/17/2015,3674,2446,10666,4806,13012,3926,27352,11178
6/21/2015,3718,2473,10666,4806,13059,3928,27443,11207
6/23/2015,3718,2480,10666,4806,13083,3931,27467,11217
6/24/2015,3720,2480,10666,4806,13093,3931,24479,11217
6/29/2015,3724,2482,10666,4806,13115,3932,27505,11220
6/30/2015,3745,2490,10666,4806,13129,3933,27540,11229
6/30/2015,3729,2482,10666,4806,13119,3932,27514,11220
7/3/2015,3750,2492,10706,4811,13135,3935,27591,11238
7/4/2015,3744,2492,10670,4807,13150,3940,27564,11245
7/5/2015,3748,2499,10670,4807,13155,3940,27573,11246
7/8/2015,3748,2499,10670,4807,13155,3940,27573,11246
7/9/2015,3744,2505,10672,4807,13169,3941,27585,11253
7/10/2015,3751,2505,10672,4807,13177,3941,27600,11253
7/13/2015,3754,2506,10672,4807,13201,3946,27627,11259
7/14/2015,3760,2506,10673,4808,13209,3947,27642,11261
7/15/2015,3760,2506,10673,4808,13209,3947,27642,11261
7/16/2015,3762,2506,10672,4808,13209,3947,27643,11261
7/17/2015,3770,2509,10673,4808,13209,3947,27652,11264
7/20/2015,3784,2511,10673,4808,13241,3949,27698,11268
7/21/2015,3783,2512,10673,4808,13250,3949,27706,11269
7/22/2015,3783,2512,10672,4808,13250,3949,27705,11269
7/23/2015,3788,2516,10673,4808,13262,3949,27723,11273
7/24/2015,3787,2517,10673,4808,13264,3949,27724,11274
7/27/2015,3792,2519,10673,4808,13284,3951,27749,11278
7/28/2015,3786,2520,10673,4808,13291,3951,27750,11279
7/29/2015,3786,2520,10672,4808,13290,3951,27748,11279
7/30/2015,3785,2521,10672,4808,13379,3951,27836,11280
7/31/2015,3781,2521,10672,4808,13387,3951,27840,11280
8/3/2015,3786,2522,10672,4808,13402,3951,27860,11281
8/4/2015,3784,2522,10672,4808,13406,3951,27862,11281
8/5/2015,3784,2522,10672,4808,13406,3951,27862,11281
8/6/2015,3792,2524,10672,4808,13426,3951,27890,11283
8/7/2015,3795,2524,10672,4808,13428,3951,27895,11283
8/10/2015,3791,2524,10672,4808,13465,3951,27928,11283
8/11/2015,3787,2524,10672,4808,13470,3951,27929,11283
8/13/2015,3792,2524,10672,4808,13484,3951,27948,11283
8/14/2015,3791,2524,10672,4808,13485,3952,27948,11284
8/17/2015,3790,2524,10672,4808,13489,3952,27951,11284
8/18/2015,3786,2524,10672,4808,13494,3952,27952,11284
8/20/2015,3792,2526,10672,4808,13518,3952,27982,11286
8/21/2015,3795,2526,10672,4808,13533,3952,28000,11286
8/24/2015,3790,2527,10672,4808,13538,3952,28000,11287
8/25/2015,3792,2527,10672,4808,13541,3952,28005,11287
8/27/2015,3797,2528,10672,4808,13582,3952,28051,11288
8/28/2015,3797,2528,10672,4808,13586,3952,28055,11288
8/31/2015,3790,2528,10672,4808,13603,3953,28065,11289
9/1/2015,3792,2529,10672,4808,13609,3953,28073,11290
9/3/2015,3792,2529,10672,4808,13638,3953,28102,11290
9/4/2015,3792,2529,10672,4808,13639,3953,28103,11290
9/8/2015,3792,2530,10672,4808,13683,3953,28147,11291
9/10/2015,3791,2530,10672,4808,13697,3953,28160,11291
9/11/2015,3791,2530,10672,4808,13701,3953,28164,11291
9/14/2015,3793,2530,10672,4808,13747,3953,28212,11291
9/15/2015,3792,2530,10672,4808,13756,3953,28220,11291
9/17/2015,3794,2530,10672,4808,13573,3955,28245,11293
9/18/2015,3794,2531,10672,4808,13785,3955,28251,11294
9/21/2015,3797,2532,10672,4808,13811,3955,28280,11295
9/22/2015,3800,2532,10672,4808,13823,3955,28295,11295
9/24/2015,3801,2533,10672,4808,13846,3955,28319,11296
9/28/2015,3805,2533,10672,4808,13894,3955,28371,11296
9/29/2015,3805,2533,10672,4808,13911,3955,28388,11296
10/1/2015,3808,2533,10672,4808,13928,3955,28408,11296
10/2/2015,3809,2533,10672,4808,13931,3955,28412,11296
10/5/2015,3804,2534,10672,4808,13941,3955,28417,11297
10/7/2015,3804,2534,10672,4808,13945,3955,28421,11297
10/8/2015,3799,2534,10672,4808,13956,3955,28427,11297
10/9/2015,3800,2534,10672,4808,13957,3955,28429,11297
10/12/2015,3798,2534,10672,4808,13978,3955,28448,11297
10/13/2015,3800,2534,10672,4808,13982,3955,28454,11297
10/15/2015,3802,2534,10672,4808,13992,3955,28466,11297
10/16/2015,3804,2535,10672,4808,13992,3955,28468,11298
10/19/2015,3806,2535,10672,4808,13999,3955,28513,11298
10/20/2015,3803,2535,10672,4808,14001,3955,28476,11298
10/22/2015,3801,2535,10672,4808,14031,3955,28504,11298
10/23/2015,3801,2535,10672,4808,14038,3955,28511,11298
10/26/2015,3804,2535,10672,4808,14052,3955,28528,11298
10/27/2015,3806,2535,10672,4808,14061,3955,28539,11298
10/29/2015,3808,2536,10672,4808,14066,3955,28546,11299
10/30/2015,3808,2536,10672,4808,14067,3955,28547,11299
11/2/2015,3808,2536,10672,4808,14078,3955,28558,11299
11/3/2015,3810,2536,10672,4808,14089,3955,28571,11299
11/5/2015,3805,2536,10672,4808,14104,3955,28581,11299
11/6/2015,3805,2536,10672,4808,14109,3955,28586,11299
11/9/2015,3806,2536,10672,4808,14122,3955,28600,11299
11/10/2015,3805,2536,10672,4808,14122,3955,28599,11299
11/12/2015,3805,2536,10672,4808,14122,3955,28599,11299
11/16/2015,3805,2536,10672,4808,14122,3955,28599,11299
11/17/2015,3404,2536,10672,4808,14122,3955,28598,11299
11/18/2015,3804,2536,10672,4808,14122,3955,28598,11299
11/19/2015,3806,2536,10672,4808,14122,3955,28600,11299
11/20/2015,3804,2536,10672,4808,14122,3955,28598,11299
11/23/2015,3804,2536,10672,4808,14122,3955,28598,11299
11/24/2015,3804,2536,10672,4808,14122,3955,28598,11299
11/25/2015,3804,2536,10675,4808,14122,3955,28601,11299
11/26/2015,3804,2536,10675,4808,14122,3955,28601,11299
11/27/2015,3804,2536,10675,4808,14122,3955,28601,11299
11/30/2015,3804,2536,10675,4808,14122,3955,28601,11299
12/1/2015,3804,2536,10675,4808,14122,3955,28601,11299
12/2/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/3/2015,3805,2536,10675,4809,14122,3955,28602,11300
12/4/2015,3805,2536,10675,4809,14122,3955,28602,11300
12/7/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/8/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/9/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/10/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/11/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/14/2015,3806,2536,10675,4809,14122,3955,28603,11300
12/15/2015,3807,2536,10675,4809,14122,3955,28604,11300
12/16/2015,3807,2536,10675,4809,14122,3955,28604,11300
12/17/2015,3805,2536,10675,4809,14122,3955,28602,11300
12/18/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/21/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/22/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/23/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/24/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/25/2015,3805,2536,10675,4809,14122,3955,28602,11300
12/28/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/29/2015,3804,2536,10675,4809,14122,3955,28601,11300
12/30/2015,3804,2536,10675,4809,14122,3955,28601,11300
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
